# Standardized Official Benchmark Trajectories (Format: frame_id  ped_id  pos_x(m)  pos_y(m))
1	1	1.398	-5.743
1	2	0.518	-7.004
1	3	2.260	-4.547
1	4	2.740	-2.424
1	5	-1.586	0.928
1	6	-1.721	1.318
1	7	-2.445	2.279
1	8	-1.448	-0.756
1	9	1.164	-8.605
1	10	-0.106	-9.902
11	1	1.268	-6.415
11	2	0.557	-7.656
11	3	1.899	-4.072
11	4	2.761	-1.698
11	5	-1.586	0.928
11	6	-1.721	1.318
11	7	-2.432	2.484
11	8	-1.448	-0.756
11	9	1.186	-9.232
11	10	-0.105	-9.882
21	3	1.490	-3.429
21	4	2.726	-1.004
21	5	-1.586	0.928
21	6	-1.721	1.318
21	7	-2.425	2.606
21	8	-1.448	-0.756
31	3	1.105	-2.944
31	4	2.725	-0.355
31	5	-1.586	0.928
31	6	-1.721	1.318
31	7	-2.370	2.845
31	8	-1.448	-0.756
41	3	0.815	-2.408
41	4	2.713	0.414
41	5	-1.586	0.928
41	6	-1.721	1.318
41	7	-2.417	3.411
41	8	-1.448	-0.756
51	3	0.405	-1.954
51	4	2.617	0.999
51	5	-1.586	0.928
51	6	-1.721	1.318
51	7	-2.413	3.802
51	8	-1.448	-0.756
61	3	0.145	-1.476
61	4	2.586	1.751
61	5	-1.586	0.928
61	6	-1.721	1.318
61	8	-1.448	-0.756
71	3	-0.130	-0.913
71	4	2.524	2.292
71	5	-1.586	0.928
71	6	-1.721	1.318
71	8	-1.448	-0.756
81	3	-0.366	-0.333
81	5	-1.586	0.928
81	6	-1.721	1.318
81	8	-1.448	-0.756
91	3	-0.565	0.244
91	5	-1.586	0.928
91	6	-1.721	1.318
91	8	-1.448	-0.756
101	3	-0.787	0.786
101	5	-1.586	0.928
101	6	-1.721	1.318
101	8	-1.448	-0.756
111	3	-0.955	1.260
111	5	-1.586	0.928
111	6	-1.701	1.315
111	8	-1.448	-0.756
121	3	-1.214	1.853
121	5	-1.586	0.928
121	6	-1.701	1.315
121	8	-1.448	-0.756
131	3	-1.490	2.205
131	5	-1.586	0.928
131	6	-1.701	1.315
131	8	-1.448	-0.756
141	5	-1.586	0.928
141	6	-1.701	1.315
141	8	-1.448	-0.756
141	11	0.396	2.899
141	12	1.261	2.828
141	13	0.996	3.791
151	5	-1.586	0.928
151	6	-1.701	1.315
151	8	-1.448	-0.756
151	11	0.333	2.126
151	12	1.342	2.614
151	13	0.884	3.473
161	5	-1.586	0.928
161	6	-1.701	1.315
161	8	-1.448	-0.756
161	11	0.341	1.280
161	12	1.364	2.332
161	13	0.748	3.077
171	5	-1.586	0.928
171	6	-1.701	1.315
171	8	-1.448	-0.756
171	11	0.409	0.464
171	12	1.342	1.938
171	13	0.736	2.539
171	14	3.998	-2.346
171	15	3.129	-2.256
171	16	3.564	-5.854
181	5	-1.586	0.928
181	6	-1.701	1.315
181	8	-1.520	-0.643
181	11	0.418	-0.383
181	12	1.389	1.453
181	13	0.740	1.938
181	14	3.995	-1.743
181	15	3.138	-1.747
181	16	3.426	-5.096
191	5	-1.586	0.928
191	6	-1.701	1.315
191	8	-1.448	-0.756
191	11	0.503	-1.220
191	12	1.396	0.914
191	13	0.762	1.334
191	14	3.912	-1.304
191	15	3.129	-1.255
191	16	3.339	-4.361
201	5	-1.586	0.928
201	6	-1.701	1.315
201	8	-1.448	-0.756
201	11	0.532	-2.051
201	12	1.342	0.285
201	13	0.784	0.709
201	14	3.901	-0.836
201	15	3.083	-0.759
201	16	3.238	-3.565
211	5	-1.586	0.928
211	6	-1.701	1.315
211	8	-1.560	-0.638
211	11	0.580	-2.883
211	12	1.381	-0.359
211	13	0.764	0.030
211	14	3.891	-0.349
211	15	3.092	-0.270
211	16	3.137	-2.767
221	5	-1.586	0.928
221	6	-1.701	1.315
221	8	-1.518	-0.602
221	11	0.604	-3.794
221	12	1.309	-0.988
221	13	0.743	-0.670
221	14	3.810	0.130
221	15	3.116	0.176
221	16	3.127	-1.961
231	5	-1.586	0.928
231	6	-1.701	1.315
231	8	-1.448	-0.756
231	11	0.761	-4.718
231	12	1.287	-1.704
231	13	0.721	-1.390
231	14	3.801	0.617
231	15	3.106	0.667
231	16	2.990	-1.158
231	17	1.430	-8.197
231	18	3.287	-6.696
241	5	-1.605	0.931
241	6	-1.721	1.318
241	8	-1.448	-0.756
241	11	0.706	-5.683
241	12	1.302	-2.446
241	13	0.694	-2.212
241	14	3.791	1.104
241	15	3.133	1.171
241	16	2.857	-0.275
241	17	1.565	-7.443
241	18	3.290	-5.968
251	5	-1.605	0.931
251	6	-1.721	1.318
251	8	-1.448	-0.756
251	11	0.700	-6.471
251	12	1.260	-3.202
251	13	0.726	-2.981
251	14	3.777	1.513
251	15	3.122	1.622
251	16	2.731	0.411
251	17	1.666	-6.628
251	18	3.237	-5.274
261	11	0.745	-7.344
261	12	1.235	-3.982
261	13	0.690	-3.622
261	14	3.717	2.048
261	15	3.074	2.080
261	16	2.608	1.158
261	17	1.878	-5.805
261	18	3.256	-4.588
271	11	0.808	-8.240
271	12	1.230	-4.744
271	13	0.685	-4.388
271	14	3.705	2.496
271	15	3.097	2.505
271	16	2.467	1.908
271	17	1.940	-5.013
271	18	3.241	-3.859
281	11	0.835	-9.112
281	12	1.242	-5.529
281	13	0.678	-5.175
281	14	3.695	2.963
281	15	3.122	2.950
281	16	2.250	2.634
281	17	2.006	-4.143
281	18	3.277	-3.176
291	12	1.317	-6.198
291	13	0.710	-5.946
291	17	2.035	-3.290
291	18	3.259	-2.507
301	12	1.252	-7.038
301	13	0.726	-6.675
301	17	1.970	-2.448
301	18	3.207	-1.815
311	12	1.302	-7.807
311	13	0.778	-7.428
311	17	1.945	-1.571
311	18	3.224	-1.151
321	12	1.299	-8.552
321	13	0.787	-8.279
321	17	1.915	-0.773
321	18	3.225	-0.466
321	19	0.364	1.679
331	17	1.906	0.062
331	18	3.296	0.188
331	19	0.446	2.107
341	17	2.046	0.931
341	18	3.443	0.926
341	19	0.585	2.545
351	17	1.975	1.635
351	18	3.438	1.492
351	19	0.611	3.002
411	20	1.553	2.379
421	20	1.482	1.776
431	20	1.447	1.145
431	21	2.589	-6.224
441	20	1.355	0.502
441	21	2.558	-5.448
451	20	1.282	-0.125
451	21	2.526	-4.692
461	20	1.208	-0.774
461	21	2.438	-3.970
471	20	1.117	-1.402
471	21	2.441	-3.238
471	23	2.232	-7.410
481	20	1.098	-2.061
481	21	2.372	-2.497
481	23	2.181	-6.668
491	20	1.043	-2.716
491	21	2.280	-1.832
491	23	2.130	-5.907
501	20	1.081	-3.383
501	21	2.247	-1.096
501	23	2.172	-5.154
501	24	0.284	2.617
501	25	-0.652	2.757
501	26	3.517	-4.046
511	20	1.052	-4.224
511	21	2.175	-0.393
511	23	2.106	-4.332
511	24	0.457	2.306
511	25	-0.432	2.537
511	26	3.438	-3.528
521	20	1.040	-4.786
521	21	2.277	0.461
521	23	2.111	-3.577
521	24	0.597	2.082
521	25	-0.271	2.308
521	26	3.430	-2.998
531	20	1.076	-5.473
531	21	2.242	1.157
531	23	1.934	-2.782
531	24	0.717	1.862
531	25	-0.073	2.073
531	26	3.384	-2.523
531	27	2.388	-7.918
541	20	1.112	-6.181
541	21	2.188	1.837
541	23	1.846	-2.015
541	24	0.720	1.581
541	25	0.066	1.808
541	26	3.340	-2.008
541	27	2.423	-7.264
551	20	1.276	-6.939
551	21	2.207	2.504
551	23	1.869	-1.283
551	24	0.761	1.314
551	25	0.162	1.490
551	26	3.349	-1.501
551	27	2.494	-6.633
561	20	1.367	-7.650
561	23	1.855	-0.526
561	24	0.836	0.961
561	25	0.279	1.189
561	26	3.232	-1.015
561	27	2.439	-5.954
571	20	1.498	-8.322
571	23	1.949	0.174
571	24	0.818	0.644
571	25	0.261	0.870
571	26	3.184	-0.558
571	27	2.440	-5.279
581	20	1.609	-9.012
581	23	2.009	0.918
581	24	0.856	0.317
581	25	0.300	0.561
581	26	3.194	-0.051
581	27	2.436	-4.664
591	20	1.663	-9.719
591	23	2.033	1.685
591	24	1.006	-0.025
591	25	0.263	0.244
591	26	3.148	0.445
