# ATR Kyoto ATC Shopping Center 3D LiDAR Benchmark
# Format: frame_id  ped_id  pos_x(m)  pos_y(m)
0	201	-6.500	1.600
0	202	-6.500	0.900
0	203	-3.000	2.000
0	204	7.000	-1.200
0	205	8.500	-1.700
10	201	-3.700	1.597
10	202	-3.700	0.897
10	203	-0.600	2.640
10	204	2.400	-1.200
10	205	4.100	-1.700
20	201	-0.900	1.606
20	202	-0.900	0.906
20	203	0.500	2.800
20	204	-2.200	-1.200
20	205	-0.300	-1.700
30	201	1.900	1.591
30	202	1.900	0.891
30	203	0.500	2.800
30	204	-6.800	-1.200
30	205	-4.700	-1.700
40	201	4.700	1.612
40	202	4.700	0.912
40	203	0.500	2.800
40	204	-11.400	-1.200
40	205	-9.100	-1.700
50	201	7.500	1.586
50	202	7.500	0.886
50	203	0.500	2.800
50	204	-16.000	-1.200
50	205	-13.500	-1.700
60	201	10.300	1.617
60	202	10.300	0.917
60	203	0.500	2.800
60	204	-20.600	-1.200
60	205	-17.900	-1.700
70	201	13.100	1.580
70	202	13.100	0.880
70	203	0.500	2.800
70	204	-25.200	-1.200
70	205	-22.300	-1.700
80	201	15.900	1.623
80	202	15.900	0.923
80	203	0.500	2.800
80	204	-29.800	-1.200
80	205	-26.700	-1.700
90	201	18.700	1.575
90	202	18.700	0.875
90	203	0.500	2.800
90	204	-34.400	-1.200
90	205	-31.100	-1.700
100	201	21.500	1.628
100	202	21.500	0.928
100	203	0.500	2.800
100	204	-39.000	-1.200
100	205	-35.500	-1.700
110	201	24.300	1.570
110	202	24.300	0.870
110	203	0.500	2.800
110	204	-43.600	-1.200
110	205	-39.900	-1.700
120	201	27.100	1.632
120	202	27.100	0.932
120	203	0.500	2.800
120	204	-48.200	-1.200
120	205	-44.300	-1.700
130	201	29.900	1.566
130	202	29.900	0.866
130	203	0.500	2.800
130	204	-52.800	-1.200
130	205	-48.700	-1.700
140	201	32.700	1.636
140	202	32.700	0.936
140	203	0.500	2.800
140	204	-57.400	-1.200
140	205	-53.100	-1.700
150	201	35.500	1.562
150	202	35.500	0.862
150	203	0.500	2.800
150	204	-62.000	-1.200
150	205	-57.500	-1.700
